ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
48,TEXAS,TX,48001,Anderson,48001950100,"Census Tract 9501, Anderson County, Texas",186.60585143777,5164,525,2455,131,1846,154,827,358,65,65,26849,2826,386,129,1003,137,1368,290,729,154,137,76,1045,703,60,94,20,16,642,132,100,45,46,35,48,22,16.2,6.3,3.1,3.1,26849.0,2826.0,10.9,3.5,19.4,2.9,26.5,4.9,14.2,3.0,7.4,4.1,20.2,13.5,1.3,2.0,0.8,0.7,26.2,4.9,5.4,2.4,2.5,1.8,0.9,0.4,0.5715,0.2288,0.4628,0.3743,1.6374,0.3853,0.8485,0.553,0.6637,0.3648,2.43,0.761,0.1077,0.2085,0.3162,0.1308,0.2846,0.9075,0.637,0.328,0.7383,2.8954,0.7545,7.279,0.4965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,606,199,11.8,3.7,3098
48,TEXAS,TX,48001,Anderson,48001950401,"Census Tract 9504.01, Anderson County, Texas",6.38992246266,4872,263,96,28,81,30,3,5,0,13,2520,659,1061,147,49,34,136,62,12,12,8,18,3140,348,36,56,0,18,8,14,5,14,0,13,4575,261,1.0,1.6,0.0,28.6,2520.0,659.0,25.4,3.0,1.0,0.7,2.8,1.3,4.0,4.2,9.9,22.4,64.4,6.3,0.7,1.2,0.0,19.2,8.3,13.8,6.2,18.1,0.0,36.4,93.9,1.7,0.01,0.0,0.9989,0.7269,1.7358,0.4162,0.0098,0.0084,0.028,0.5241,0.5703,0.023,0.5744,0.1259,0.7003,0.3439,0.0,0.7111,0.6899,0.0,0.9958,2.3968,0.5421,5.4032,0.2477,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,64,50,21.5,13.6,4344
48,TEXAS,TX,48001,Anderson,48001950402,"Census Tract 9504.02, Anderson County, Texas",27.981598815876,7548,356,181,61,128,59,44,63,4,6,1329,450,2190,239,223,78,28,28,5,7,34,51,4945,467,29,79,0,26,37,22,0,26,0,19,7331,349,20.3,25.5,2.2,3.7,1329.0,450.0,30.3,3.1,3.0,1.0,0.4,0.4,2.3,3.4,26.6,38.4,65.5,5.4,0.4,1.0,0.0,14.9,20.4,11.9,0.0,21.0,0.0,26.3,97.1,0.6,0.6821,0.1162,0.9998,0.7971,2.5952,0.6895,0.0279,0.0029,0.005,0.9855,1.0213,0.0626,0.5832,0.0769,0.6601,0.3219,0.0,0.8605,0.0,0.0,0.9964,1.8569,0.3123,6.1335,0.3422,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,12,18,5.5,8.5,5795
48,TEXAS,TX,48001,Anderson,48001950500,"Census Tract 9505, Anderson County, Texas",8.931327680284,4569,520,1914,185,1697,214,946,368,110,118,15961,1808,577,212,620,160,1243,248,569,181,234,105,2612,627,454,238,262,113,34,53,96,64,130,70,79,95,21.1,7.9,5.3,5.6,15961.0,1808.0,19.5,6.6,13.6,3.3,27.2,4.5,12.7,3.9,13.8,6.0,57.2,12.1,10.5,5.4,13.7,5.8,1.8,2.7,5.7,3.7,7.7,4.1,1.7,2.1,0.7023,0.5347,0.8388,0.6146,2.6904,0.7202,0.5872,0.602,0.5654,0.7366,2.4912,0.7878,0.5176,0.7441,1.2617,0.6467,0.6827,0.5486,0.6563,0.7255,0.8089,3.422,0.9167,9.8653,0.8433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,346,19.9,7.0,3532
48,TEXAS,TX,48001,Anderson,48001950600,"Census Tract 9506, Anderson County, Texas",7.97450630627,5570,754,2371,180,1876,212,549,356,99,91,19854,4735,1053,310,846,186,1279,468,813,296,124,107,1902,958,114,142,17,41,387,184,8,25,230,169,84,39,10.0,6.5,3.8,3.3,19854.0,4735.0,28.6,7.6,15.2,4.0,23.0,7.8,14.8,5.0,6.6,5.7,34.1,16.6,2.1,2.7,0.7,1.8,16.3,7.5,0.4,1.4,12.3,8.5,1.5,0.7,0.3455,0.3319,0.7096,0.7762,2.1632,0.5552,0.6702,0.3355,0.6991,0.3041,2.0089,0.4861,0.2588,0.3156,0.5744,0.2766,0.2701,0.8158,0.1008,0.8747,0.7936,2.855,0.7387,7.6015,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,396,15.1,6.8,5496
48,TEXAS,TX,48001,Anderson,48001950700,"Census Tract 9507, Anderson County, Texas",2.594966059268,2479,352,1142,89,859,107,628,298,21,19,14177,2715,403,170,340,91,750,191,446,141,96,55,1763,418,246,155,94,62,21,23,45,50,89,46,194,91,27.5,11.7,2.3,2.0,14177.0,2715.0,26.4,9.1,13.7,3.7,30.3,6.4,19.4,5.3,11.2,6.3,71.1,13.5,11.1,6.9,8.2,5.4,1.8,2.0,5.2,5.9,10.4,5.1,7.8,3.5,0.8229,0.1285,0.8976,0.7443,2.5933,0.6887,0.5922,0.7775,0.8837,0.6012,2.8546,0.9278,0.6373,0.7563,1.3936,0.7091,0.584,0.5486,0.6236,0.8264,0.9413,3.5239,0.9378,10.3654,0.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,518,201,22.6,7.2,3820
48,TEXAS,TX,48001,Anderson,48001950800,"Census Tract 9508, Anderson County, Texas",4.103388580664,5584,602,2284,185,2068,225,1247,371,111,105,22668,3413,283,169,721,141,1439,339,648,173,335,134,2537,776,137,175,369,137,0,19,54,65,89,93,17,15,22.3,6.4,4.0,3.7,22668.0,3413.0,8.4,4.8,12.9,2.8,25.8,5.4,11.6,2.8,16.2,6.3,45.4,13.0,2.7,3.5,16.2,5.9,0.0,1.7,2.6,3.1,4.3,4.3,0.3,0.3,0.728,0.3587,0.609,0.2917,1.9874,0.498,0.545,0.5107,0.4844,0.8288,2.3689,0.7242,0.3942,0.382,0.7762,0.3839,0.7169,0.0,0.3789,0.5103,0.6337,2.2398,0.475,7.3723,0.5111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,282,12.2,5.2,7918
48,TEXAS,TX,48001,Anderson,48001950901,"Census Tract 9509.01, Anderson County, Texas",111.965556431058,6481,702,2131,157,1839,200,470,224,16,20,17731,2089,894,197,1138,152,1393,321,616,173,150,85,1999,902,129,111,0,26,798,176,43,44,51,34,1121,202,8.8,4.0,0.6,0.8,17731.0,2089.0,18.7,3.8,17.6,2.8,21.5,4.4,11.5,3.1,8.2,4.6,30.8,13.5,2.1,1.8,0.0,1.3,37.4,8.0,2.3,2.4,2.8,1.9,17.3,2.5,0.2981,0.0167,0.7791,0.5979,1.6918,0.4028,0.7825,0.2521,0.4779,0.417,1.9295,0.4298,0.2278,0.3156,0.5434,0.2569,0.0,0.9712,0.3393,0.3664,0.9667,2.6436,0.6541,6.8083,0.4341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,803,302,15.0,5.5,7799
48,TEXAS,TX,48001,Anderson,48001950902,"Census Tract 9509.02, Anderson County, Texas",170.412278729614,4513,767,2323,135,1778,174,492,192,52,81,21242,3421,468,250,994,174,1091,476,797,236,12,23,1219,1017,76,85,3,14,753,174,171,111,149,83,0,13,10.9,4.4,3.1,4.7,21242.0,3421.0,15.0,7.5,22.0,5.2,24.2,9.7,17.7,5.5,0.7,1.3,27.0,22.1,1.8,2.0,0.1,0.6,32.4,6.8,9.6,6.2,8.4,4.6,0.0,0.3,0.3831,0.2288,0.6594,0.5073,1.7786,0.4302,0.9143,0.4086,0.8301,0.0143,2.1673,0.5947,0.1796,0.2793,0.4589,0.2072,0.2114,0.9494,0.8441,0.7566,0.0,2.7615,0.7032,7.1663,0.4781,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,292,193,6.5,3.8,1778
48,TEXAS,TX,48001,Anderson,48001951000,"Census Tract 9510, Anderson County, Texas",238.404734365462,6928,628,3264,198,2738,215,936,318,129,113,22034,2038,626,190,1339,223,1613,292,997,211,356,140,1269,870,18,75,8,20,955,191,33,29,38,25,93,39,13.7,4.6,4.1,3.3,22034.0,2038.0,13.6,4.1,19.3,3.8,23.3,3.6,14.6,2.8,13.0,5.0,18.3,12.5,0.3,1.1,0.2,0.6,29.3,5.6,1.2,1.1,1.4,0.9,1.3,0.6,0.485,0.3715,0.6322,0.4633,1.952,0.4853,0.8462,0.3546,0.6882,0.6984,2.5874,0.8307,0.0842,0.0618,0.146,0.0478,0.2163,0.9329,0.1978,0.1878,0.776,2.3108,0.5043,6.9962,0.4566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,921,246,13.5,3.2,3606
