geoid,No,Yes,tot,with,without
48201542301,310,337,647,0.521,0.479
48201552601,292,233,525,0.444,0.556
48157673800,492,439,931,0.472,0.528
48157674000,359,384,743,0.517,0.483
48157674100,296,384,680,0.565,0.435
48157674200,230,300,530,0.566,0.434
48167720502,432,428,860,0.498,0.502
48167720501,153,145,298,0.487,0.513
48167721202,236,290,526,0.551,0.449
48167722002,287,225,512,0.439,0.561
48167720301,203,187,390,0.479,0.521
48167720503,439,468,907,0.516,0.484
48201323701,299,284,583,0.487,0.513
48201240702,596,533,1129,0.472,0.528
48201240501,253,185,438,0.422,0.578
48201240701,440,449,889,0.505,0.495
48201240901,182,205,387,0.53,0.47
48157675500,1710,1273,2983,0.427,0.573
48157674400,390,582,972,0.599,0.401
48157671400,433,296,729,0.406,0.594
48157675400,1656,1026,2682,0.383,0.617
48201241103,78,82,160,0.512,0.488
48201450802,288,296,584,0.507,0.493
48201450801,74,81,155,0.523,0.477
48201451002,124,113,237,0.477,0.523
48201454302,233,229,462,0.496,0.504
48201451902,157,137,294,0.466,0.534
48201453602,301,286,587,0.487,0.513
48201453403,84,90,174,0.517,0.483
48201453601,80,73,153,0.477,0.523
48201453501,200,206,406,0.507,0.493
48201453502,173,169,342,0.494,0.506
48245000309,114,93,207,0.449,0.551
48245011700,1270,1057,2327,0.454,0.546
48245011800,962,757,1719,0.44,0.56
48201553401,210,214,424,0.505,0.495
48201553402,316,303,619,0.489,0.511
48201553801,165,141,306,0.461,0.539
48201554903,432,349,781,0.447,0.553
48157674300,299,425,724,0.587,0.413
48157674700,920,757,1677,0.451,0.549
48157674800,537,382,919,0.416,0.584
48157674900,868,583,1451,0.402,0.598
48157675000,810,488,1298,0.376,0.624
48157675200,1057,808,1865,0.433,0.567
48187210712,203,252,455,0.554,0.446
48187210710,122,146,268,0.545,0.455
48187210707,253,362,615,0.589,0.411
48187210709,263,320,583,0.549,0.451
48187210711,209,269,478,0.563,0.437
48439113809,457,387,844,0.459,0.541
48167721201,563,685,1248,0.549,0.451
48167722001,400,372,772,0.482,0.518
48167726200,1692,1274,2966,0.43,0.57
48439121609,566,431,997,0.432,0.568
48187210708,265,336,601,0.559,0.441
48201550301,361,240,601,0.399,0.601
48201550302,327,313,640,0.489,0.511
48157675800,1356,888,2244,0.396,0.604
48157670800,470,526,996,0.528,0.472
48157675700,1246,851,2097,0.406,0.594
48157673200,1141,743,1884,0.394,0.606
48157673400,1609,1477,3086,0.479,0.521
48157673300,966,642,1608,0.399,0.601
48201550401,303,272,575,0.473,0.527
48201553403,231,219,450,0.487,0.513
48201454502,154,157,311,0.505,0.495
48201541601,174,179,353,0.507,0.493
48201541602,418,439,857,0.512,0.488
48373210102,1940,1677,3617,0.464,0.536
48373210101,765,867,1632,0.531,0.469
48373210500,1779,1636,3415,0.479,0.521
48373210400,1674,1302,2976,0.438,0.562
48157670400,151,156,307,0.508,0.492
48157670300,176,169,345,0.49,0.51
48157670200,270,270,540,0.5,0.5
48157670700,595,589,1184,0.497,0.503
48201455102,185,128,313,0.409,0.591
48201511302,287,352,639,0.551,0.449
48201520601,134,104,238,0.437,0.563
48201554001,219,191,410,0.466,0.534
48201554901,318,305,623,0.49,0.51
48201212300,955,1004,1959,0.513,0.487
48201212400,656,578,1234,0.468,0.532
48157675300,1333,1047,2380,0.44,0.56
48157675600,926,598,1524,0.392,0.608
48157673700,150,97,247,0.393,0.607
48157675100,810,609,1419,0.429,0.571
48017950100,7917,1958,9875,0.198,0.802
48201250701,568,503,1071,0.47,0.53
48201250702,281,217,498,0.436,0.564
48201251503,52,61,113,0.54,0.46
48201251402,222,270,492,0.549,0.451
48201251902,585,357,942,0.379,0.621
48201314002,283,186,469,0.397,0.603
48201511002,197,225,422,0.533,0.467
48201511001,311,281,592,0.475,0.525
48201522302,226,184,410,0.449,0.551
48201522202,119,124,243,0.51,0.49
48201522301,198,174,372,0.468,0.532
48201522201,144,163,307,0.531,0.469
48201532002,73,88,161,0.547,0.453
48201532001,186,188,374,0.503,0.497
48201532502,178,189,367,0.515,0.485
48201543200,857,695,1552,0.448,0.552
48201522500,337,344,681,0.505,0.495
48355005414,81,124,205,0.605,0.395
48355003203,186,297,483,0.615,0.385
48355005404,88,128,216,0.593,0.407
48355003700,303,461,764,0.603,0.397
48355001903,194,324,518,0.625,0.375
48085031621,742,814,1556,0.523,0.477
48085031622,384,518,902,0.574,0.426
48085031623,309,355,664,0.535,0.465
48085031624,204,279,483,0.578,0.422
48085031626,257,303,560,0.541,0.459
48085031627,445,585,1030,0.568,0.432
48085031628,224,251,475,0.528,0.472
48085031630,267,305,572,0.533,0.467
48201314001,205,155,360,0.431,0.569
48201413202,114,102,216,0.472,0.528
48201320602,270,280,550,0.509,0.491
48201333202,280,230,510,0.451,0.549
48201321401,484,593,1077,0.551,0.449
48201323702,159,148,307,0.482,0.518
48201340203,163,170,333,0.511,0.489
48201342002,159,123,282,0.436,0.564
48201534001,181,197,378,0.521,0.479
48201533902,202,154,356,0.433,0.567
48201550603,214,186,400,0.465,0.535
48187210508,258,259,517,0.501,0.499
48187210608,194,290,484,0.599,0.401
48187210607,341,424,765,0.554,0.446
48187210713,268,360,628,0.573,0.427
48201550402,232,206,438,0.47,0.53
48201550601,128,134,262,0.511,0.489
48085031504,509,328,837,0.392,0.608
48085031611,408,485,893,0.543,0.457
48085031612,280,390,670,0.582,0.418
48085031613,584,738,1322,0.558,0.442
48413950300,5269,1217,6486,0.188,0.812
48355002101,197,352,549,0.641,0.359
48355002001,219,395,614,0.643,0.357
48355001702,129,196,325,0.603,0.397
48355002002,176,351,527,0.666,0.334
48355001904,218,386,604,0.639,0.361
48277000800,1167,668,1835,0.364,0.636
48277000900,658,435,1093,0.398,0.602
48277001000,578,400,978,0.409,0.591
