year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48209010901,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,NA,NA,NA,*,Estimates suppressed for population less than 50,2,"
,  
(30.1541323147, -97.9083324997)",PREVENT,ACCESS2,4805000,48209010901,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000101,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10,8.4,12.4,,,3611,"
,  
(30.3231638088, -97.7532685324)",PREVENT,ACCESS2,4805000,48453000101,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000102,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,8.2,6.8,10.4,,,2552,"
,  
(30.3259687199, -97.7672291772)",PREVENT,ACCESS2,4805000,48453000102,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000203,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,15.5,13,19.4,,,1546,"
,  
(30.3126275309, -97.7366585578)",PREVENT,ACCESS2,4805000,48453000203,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000204,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,12.3,10.6,14.4,,,3009,"
,  
(30.3071669724, -97.7444637729)",PREVENT,ACCESS2,4805000,48453000204,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000205,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.4,11.4,15.9,,,3394,"
,  
(30.3261617411, -97.7343170626)",PREVENT,ACCESS2,4805000,48453000205,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000206,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,11.1,9.2,13.6,,,2687,"
,  
(30.326153574, -97.7435152927)",PREVENT,ACCESS2,4805000,48453000206,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000302,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.6,11.3,16.4,,,4939,"
,  
(30.3025595965, -97.7265034048)",PREVENT,ACCESS2,4805000,48453000302,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000304,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,14.4,12.5,16.9,,,3045,"
,  
(30.3093759729, -97.7169057003)",PREVENT,ACCESS2,4805000,48453000304,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000305,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.8,11.2,17.3,,,3223,"
,  
(30.3148722619, -97.7263019673)",PREVENT,ACCESS2,4805000,48453000305,Health Insurance
